id,cue_id,response_id,response,cue,revision,subtlex_id,kuperman_id,rowid,n_revision
6103,30,13,a lot,have,lot,193,26890,6092,2
7749,40,7,a lot,people,lot,193,26890,19532,2
7608,39,12,abe lincoln,penny,abraham,7693,NA,19391,2
7842,39,19,abe lincoln,penny,abraham,7693,NA,7822,2
7658,38,281,atx,party,atx,NA,NA,7640,2
8306,42,281,atx,pool,atx,NA,NA,8286,2
7486,37,281,atx,pajamas,atx,NA,NA,7468,2
639,4,258,awww,baby,aw,1510,NA,12441,2
2616,13,307,awww,child,aw,1510,NA,2615,2
5819,29,268,baby food,highchair,food,566,18142,17606,2
643,4,268,baby food,baby,food,566,18142,12445,2
7659,38,353,ballons,party,balloon,5134,3147,7641,2
2156,11,314,ballons,bubble,balloon,5134,3147,13952,2
2537,13,427,best buy,buy,best buy,235,3991,14333,2
9541,48,427,best buy,store,best buy,NA,NA,21317,2
4133,20,457,best friend,daddy,bestfriend,NA,NA,4129,2
2028,10,457,best friend,call,bestfriend,NA,NA,2027,2
6778,34,520,body part,leg,body,516,4813,26430,2
4852,24,532,body part,ear,body,516,4813,26431,2
10530,54,532,body part,tummy,body,516,4813,26432,2
215,2,532,body part,back,body,516,4813,215,2
6137,30,736,can't,have,cant,15084,NA,6125,2
6400,31,736,can't,help,cant,15084,NA,26394,2
11479,59,736,can't,would,cant,15084,NA,26395,2
4593,23,748,can't,don't,cant,15084,NA,26396,2
5577,28,748,can't,hard,cant,15084,NA,26397,2
6821,33,882,chicken salad,lunch,salad,2787,39408,6807,2
3343,17,912,chicken salad,chicken,salad,2787,39408,15137,2
5213,26,884,chickfila,food,chickfila,NA,NA,5206,2
6822,33,884,chickfila,lunch,chickfila,NA,NA,26433,2
3346,17,916,chickfila,chicken,chickfila,NA,NA,26434,2
2923,15,1167,cotton candy,candy,cotton candy,4194,10256,14718,2
6688,32,1121,cotton candy,lollipop,cotton candy,NA,NA,6674,2
1714,9,1210,cream cheese,bread,cream cheese,1638,7524,13511,2
3123,16,1210,cream cheese,cheese,cream cheese,1404,10648,14918,2
37,1,1194,crocs,alligator,crocs,15866,10817,37,2
1081,6,1194,crocs,boots,crocs,15866,10817,1081,2
11494,59,1361,didn't,would,didnt,20771,NA,11463,2
4618,23,1403,didn't,don't,didnt,20771,NA,16409,2
3941,20,1404,diet coke,cup,coke,3231,8623,15733,2
