"","cue","response","revision","kuperman_id","subtlex_id","study_id"
"1","alligator","aggressive",NA,884,4399,1
"2","alligator","ahhh","ah",NA,589,1
"3","alligator","all",NA,1113,68,1
"4","alligator","alligator",NA,1152,8287,1
"5","alligator","ancient",NA,1499,2336,1
"6","alligator","animal",NA,1565,1380,1
"7","alligator","attack",NA,2563,995,1
"8","alligator","attacks",NA,2568,3606,1
"9","alligator","awkward",NA,2869,2841,1
"10","alligator","bag",NA,3057,792,1
"11","alligator","bait",NA,3086,3803,1
"12","alligator","bayou",NA,3573,18935,1
"13","alligator","belt",NA,3894,2120,1
"14","alligator","big",NA,4109,187,1
"15","alligator","big teeth",NA,NA,NA,1
"16","alligator","bite",NA,4324,1298,1
"17","alligator","bites",NA,4327,5546,1
"18","alligator","blackened",NA,4367,27583,1
"19","alligator","boat",NA,4768,1328,1
"20","alligator","boots",NA,5041,2735,1
"21","alligator","bug",NA,5765,2797,1
"22","alligator","cajun",NA,NA,17520,1
"23","alligator","carnivore",NA,6726,24181,1
"24","alligator","chicken",NA,7595,1236,1
"25","alligator","chomp",NA,7751,29386,1
"26","alligator","chompchomp","chomp",7751,29386,1
"27","alligator","chomps","chomp",7751,29386,1
"28","alligator","cold blooded","cold blooded",NA,NA,1
"29","alligator","cool",NA,9952,555,1
"30","alligator","croccodile","crocodile",10832,11863,1
"31","alligator","crocdile","crocodile",10832,11863,1
"32","alligator","crocidile","crocodile",10832,11863,1
"33","alligator","crocidille","crocodile",10832,11863,1
"34","alligator","crocks",NA,10831,46371,1
"35","alligator","crocodile",NA,10832,11863,1
"36","alligator","crocodiles",NA,10833,24838,1
"37","alligator","crocs","croc",10824,31636,1
"38","alligator","cute",NA,11260,804,1
"39","alligator","dangeous","dangerous",11428,829,1
"40","alligator","danger",NA,11427,1348,1
"41","alligator","dangerous",NA,11428,829,1
"42","alligator","deadly",NA,11574,3694,1
"43","alligator","death",NA,11600,483,1
"44","alligator","deep south louisiana","deep south louisiana",NA,NA,1
"45","alligator","desert",NA,12433,2358,1
"46","alligator","dinner",NA,12972,517,1
"47","alligator","dinosaur",NA,12977,8704,1
"48","alligator","disney",NA,NA,9850,1
"49","alligator","draw",NA,14167,1394,1
"50","alligator","duck dynasty","duck dynasty",NA,NA,1
"51","alligator","dularge","dularge",NA,NA,1
"52","alligator","eat",NA,14671,420,1
"53","alligator","family feud","family feud",NA,NA,1
"54","alligator","farm",NA,16909,2356,1
"55","alligator","fast",NA,16954,535,1
"56","alligator","fear",NA,17050,1020,1
"57","alligator","fish",NA,17550,1138,1
"58","alligator","fishing",NA,17565,2541,1
"59","alligator","float",NA,17882,4571,1
"60","alligator","flordia","florida",NA,3110,1
"61","alligator","florida",NA,NA,3110,1
"62","alligator","food",NA,18142,566,1
"63","alligator","football",NA,18160,2191,1
"64","alligator","fried",NA,18690,3722,1
"65","alligator","friends",NA,18697,345,1
"66","alligator","frog",NA,18744,4999,1
"67","alligator","gar",NA,NA,20813,1
"68","alligator","gator",NA,19250,13661,1
"69","alligator","grass",NA,20167,2929,1
"70","alligator","green",NA,20255,1021,1
"71","alligator","gumbo",NA,20602,19360,1
"72","alligator","hat",NA,21156,1126,1
"73","alligator","hide",NA,21663,845,1
"74","alligator","highway",NA,21718,2816,1
"75","alligator","home",NA,21941,172,1
"76","alligator","hungry",NA,22435,811,1
"77","alligator","hunt",NA,22442,2388,1
"78","alligator","hunting",NA,22446,2460,1
"79","alligator","jaws",NA,24837,9484,1
"80","alligator","killer",NA,25330,1357,1
"81","alligator","lake",NA,25663,2200,1
"82","alligator","large",NA,25793,1309,1
"83","alligator","large predator","large predator",NA,NA,1
"84","alligator","later",NA,25847,299,1
"85","alligator","lazy",NA,25959,3445,1
"86","alligator","leather",NA,26027,3197,1
"87","alligator","lion",NA,26493,4344,1
"88","alligator","lit",NA,26554,3602,1
"89","alligator","lizard",NA,26618,8755,1
"90","alligator","loki",NA,NA,38501,1
"91","alligator","long",NA,26790,159,1
"92","alligator","louis",NA,NA,3789,1
"93","alligator","louisiana",NA,NA,8801,1
"94","alligator","lousiana","louisiana",NA,8801,1
"95","alligator","marsh",NA,27669,13173,1
"96","alligator","marshmallow",NA,27676,13424,1
"97","alligator","mean",NA,27925,117,1
"98","alligator","meat",NA,27952,1463,1
"99","alligator","mouth",NA,29410,676,1
"100","alligator","mud",NA,29461,3112,1
"101","alligator","nasty",NA,29858,2003,1
"102","alligator","nuggets",NA,30665,15376,1
"103","alligator","ouch",NA,31429,3588,1
"104","alligator","outside",NA,31585,463,1
"105","alligator","panda",NA,32160,17391,1
"106","alligator","pond",NA,34306,6005,1
"107","alligator","preadtor","louisiana",NA,8801,1
"108","alligator","predator",NA,34772,9444,1
"109","alligator","princess",NA,35132,2496,1
"110","alligator","quiet",NA,36242,651,1
"111","alligator","reptial","reptile",38038,14175,1
"112","alligator","reptile",NA,38038,14175,1
"113","alligator","restaurant",NA,38271,1502,1
"114","alligator","river",NA,38838,1540,1
"115","alligator","roadkill",NA,NA,27319,1
"116","alligator","rock",NA,38910,1024,1
"117","alligator","roll",NA,38943,1019,1
"118","alligator","rough",NA,39064,1330,1
"119","alligator","run",NA,39229,287,1
"120","alligator","sand",NA,39514,2670,1
"121","alligator","scale",NA,39729,3819,1
"122","alligator","scales",NA,39733,10828,1
