cue,response,revision,subtlex_id,kuperman_id,new_revision,new_subtlex_id,new_kuperman_id
have,a lot,a lot,NA,NA,a lot,193,26890
people,a lot,lot,193,26890,a lot,193,26890
penny,abe lincoln,cent,4086,7135,abraham,7693,NA
penny,abe lincoln,abraham,7693,NA,abraham,7693,NA
napkin,absorbant,absorbent,NA,NA,absorbent,33993,164
bread,absorbant,absorbent,33993,164,absorbent,33993,164
doll,accesories,accessories,NA,NA,accessories,11727,252
store,accesories,accessories,11727,252,accessories,11727,252
moose,aggresive,aggressive,NA,NA,aggressive,4399,884
rooster,aggresive,aggressive,4399,884,aggressive,4399,884
bear,agressive,aggressive,4399,884,aggressive,4399,884
grrr,agressive,aggressive,NA,NA,aggressive,4399,884
throw,agressive,aggressive,NA,NA,aggressive,4399,884
alligator,ahhh,ah,589,NA,ah,589,NA
daddy,ahhh,ahhh,NA,NA,ah,589,NA
grrr,ahhh,ahhh,NA,NA,ah,589,NA
uhoh,ahhh,ah,589,NA,ah,589,NA
drink,alot,alot,NA,NA,a lot,193,26890
food,alot,alot,NA,NA,a lot,193,26890
have,alot,alot,NA,NA,a lot,193,26890
people,alot,lot,193,26890,a lot,193,26890
trash,alot,lot,193,26890,a lot,193,26890
walk,alot,lot,193,26890,a lot,193,26890
collected,alot,alot,193,26890,a lot,193,26890
multitude,alot,alot,NA,NA,a lot,193,26890
overdone,alot,alot,NA,NA,a lot,193,26890
pajamas,atx,zouch,NA,NA,atx,NA,NA
party,atx,atx,NA,NA,atx,NA,NA
pool,atx,atx,NA,NA,atx,NA,NA
child,awww,awww,NA,NA,aw,1510,NA
baby,awww,aw,1510,NA,aw,1510,NA
baby,baby food,food,566,18142,food,566,18142
highchair,baby food,baby food,NA,NA,food,566,18142
party,ballons,balloon,5134,3147,balloon,5134,3147
bubble,ballons,balloons,6930,3152,balloon,5134,3147
ouch,band aid,bandaid,NA,NA,bandaid,NA,3191
uhoh,band aid,bandaid,NA,3191,bandaid,NA,3191
cook,bbq,bbq,NA,NA,barbecue,4973,3301
country,bbq,bbq,NA,NA,barbecue,4973,3301
daddy,bbq,bbq,NA,NA,barbecue,4973,3301
chicken,bbq,barbecue,4973,3301,barbecue,4973,3301
buy,best buy,best,235,3991,best buy,NA,NA
store,best buy,best buy,NA,NA,best buy,NA,NA
call,best friend,friend,274,18691,friend,274,18691
daddy,best friend,best friend,NA,NA,friend,274,18691
back,body part,body part,NA,NA,body,516,4813
ear,body part,body part,NA,NA,body,516,4813
tummy,body part,body part,NA,NA,body,516,4813
leg,body part,body,516,4813,body,516,4813
have,can't,can't,NA,NA,cannot,663,6476
help,can't,can't,NA,NA,cannot,663,6476
would,can't,can't,NA,NA,cannot,663,6476
don't,can't,cannot,663,6476,cannot,663,6476
hard,can't,cannot,663,6476,cannot,663,6476
lunch,chicken salad,chicken salad,NA,NA,salad,2787,39408
chicken,chicken salad,salad,2787,39408,salad,2787,39408
vanilla,choclate,chocolate,NA,NA,chocolate,2018,7727
candy,choclate,chocolate,2018,7727,chocolate,2018,7727
lollipop,cotton candy,cotton candy,NA,NA,cotton candy,4194,10256
candy,cotton candy,cotton,4194,10256,cotton candy,4194,10256
bread,cream cheese,cheese,1638,7524,cream cheese,1638,7524
cheese,cream cheese,cream,1404,10648,cream cheese,1638,7524
alligator,crocs,croc,31636,10824,crocs,15866,10817
boots,crocs,crocs,15866,10817,crocs,15866,10817
would,didn't,didn't,NA,NA,didnt,20771,NA
don't,didn't,didnt,20771,NA,didnt,20771,NA
drink,diet coke,drink,NA,NA,coke,3231,8623
cup,diet coke,coke,3231,8623,coke,3231,8623
drink,dining hall,drink,NA,NA,dining hall,NA,NA
lunch,dining hall,dining hall,NA,NA,dining hall,NA,NA
bear,dino,dinosaur,8704,12977,dinosaur,8704,12977
grrr,dino,dino,8704,12977,dinosaur,8704,12977
would,do it,do it,NA,NA,do,34,13746
don't,do it,do,34,13746,do,34,13746
now,do it,do,34,13746,do,34,13746
have,don't,don't,NA,NA,dont,13261,NA
turn around,don't,don't,NA,NA,dont,13261,NA
baby,don't,don't,NA,NA,dont,13261,NA
don't,don't,dont,13261,NA,dont,13261,NA
now,don't,dont,13261,NA,dont,13261,NA
pretend,don't,dont,13261,NA,dont,13261,NA
uhoh,don't,dont,13261,NA,dont,13261,NA
behind,don't know,know,45,25528,NA,NA,NA
pretend,don't know,don't know,NA,NA,NA,NA,NA
doll,dressup,dress,881,14216,dressup,881,14216
party,dressup,dressup,NA,NA,dressup,881,14216
pretend,dressup,dressup,NA,NA,dressup,881,14216
lollipop,dum dum,dum dum,NA,NA,dum dum,NA,NA
yum yum,dum dum,delicious,2081,12043,dum dum,NA,NA
spaghetti,eminem,elise,NA,NA,eminem,NA,NA
candy,eminem,eminem,NA,NA,eminem,NA,NA
day,feild,field,NA,NA,field,1016,17319
flower,feild,field,NA,NA,field,1016,17319
tractor,feild,field,NA,NA,field,1016,17319
horse,feild,field,1016,17319,field,1016,17319
moose,freds,fred's,NA,NA,freds,NA,NA
dance,freds,freds,NA,NA,freds,NA,NA
throw,garabage,garbage,NA,NA,garbage,2085,19154
trash,garabage,garbage,2085,19154,garbage,2085,19154
awake,get up,get up,NA,NA,up,38,49154
stand,get up,get up,NA,NA,up,38,49154
wake,get up,up,38,49154,up,38,49154
penny,good luck,good luck,NA,NA,luck,524,26991
rooster,good luck,luck,524,26991,luck,524,26991
penny,goodluck,good luck,NA,NA,luck,524,26991
penny,goodluck,luck,524,26991,luck,524,26991
bear,grrr,gr,27043,NA,gr,27043,NA
grrr,grrr,grrr,NA,NA,gr,27043,NA
bear,grrrrr,gr,27043,NA,gr,27043,NA
grrr,grrrrr,grrrrr,NA,NA,gr,27043,NA
flower,gymnosperm,gymnosperms,NA,NA,gymnosperm,NA,NA
plant,gymnosperm,gymnosperm,NA,NA,gymnosperm,NA,NA
yum yum,habachi,hibachi,NA,NA,hibachi,36397,21641
haiku,habachi,hibachi,36397,21641,hibachi,36397,21641
call,hang up,hang up,NA,NA,hang,523,20983
towel,hang up,hang,523,20983,hang,523,20983
have,haven't,haven't,33161,NA,havent,33161,NA
don't,haven't,havent,33161,NA,havent,33161,NA
highchair,hiar,higher,1782,21692,hair,562,21692
ponytail,hiar,hair,562,20778,hair,562,21692
baby,high chair,highchair,40544,21690,highchair,40544,21690
highchair,high chair,high chair,NA,NA,highchair,40544,21690
give me five!,highfive,high five,NA,NA,highfive,NA,NA
combined,highfive,highfive,NA,NA,highfive,NA,NA
basement,himes,himes,NA,NA,himes,NA,NA
detest,himes,,NA,8643,himes,NA,NA
food,hot dog,hot dog,NA,NA,hotdog,27071,22214
bread,hot dog,hotdog,27071,22214,hotdog,27071,22214
ice,ice chest,chest,1582,7570,icebox,10406,22680
white,ice chest,ice chest,NA,NA,icebox,10406,22680
food,ice cream,ice cream,NA,NA,icecream,NA,22686
moose,ice cream,ice cream,NA,NA,icecream,NA,22686
party,ice cream,icecream,NA,22686,icecream,NA,22686
refrigerator,ice cream,icecream,NA,22686,icecream,NA,22686
tongue,ice cream,ice cream,NA,NA,icecream,NA,22686
vanilla,ice cream,ice cream,NA,NA,icecream,NA,22686
cake,ice cream,ice cream,NA,NA,icecream,NA,22686
ice,ice cream,cream,1404,10648,icecream,NA,22686
white,ice cream,icecream,NA,22686,icecream,NA,22686
zoo,ice cream,icecream,NA,22686,icecream,NA,22686
refrigerator,ice tea,ice tea,NA,NA,tea,1352,45691
ice,ice tea,tea,1352,45691,tea,1352,45691
beside,idk,idk,NA,NA,NA,NA,NA
daddy,idk,idk,NA,NA,NA,NA,NA
have,idk,idk,NA,NA,NA,NA,NA
yum yum,idk,idk,NA,NA,NA,NA,NA
after,idk,idk,NA,NA,NA,NA,NA
behind,idk,idk,NA,NA,NA,NA,NA
bring,idk,idk,NA,NA,NA,NA,NA
give,idk,idk,NA,NA,NA,NA,NA
stand,idk,idk,NA,NA,NA,NA,NA
were,idk,idk,NA,NA,NA,NA,NA
arachnid,idk,idk,NA,NA,NA,NA,NA
repression,idk,,NA,8643,NA,NA,NA
beside,infront,infront,NA,NA,front,448,18758
behind,infront,front,448,18758,front,448,18758
ear,jewlery,jewelery,NA,NA,jewelry,4027,24913
buy,jewlery,jewelry,4027,24913,jewelry,4027,24913
turn around,jumpscare,it is behind you,NA,NA,scare,1489,39785
behind,jumpscare,scare,1489,39785,scare,1489,39785
drink,koolaid,kool aid,NA,NA,koolaid,NA,NA
have,koolaid,koolaid,NA,NA,koolaid,NA,NA
back,lay down,lay down,NA,NA,lay,999,25935
couch,lay down,lay,999,25935,lay,999,25935
beside,laying down,laying down,NA,NA,laying,3184,25942
awake,laying down,laying,3184,25942,laying,3184,25942
cat,litter box,litter box,NA,NA,litter,7513,26584
kitty,litter box,litter,7513,26584,litter,7513,26584
couch,livingroom,living room,NA,NA,livingroom,NA,NA
couch,livingroom,livingroom,NA,NA,livingroom,NA,NA
child,lolipop,lolipop,NA,NA,lollipop,13030,26773
candy,lolipop,lollipop,13030,26773,lollipop,13030,26773
alligator,lousiana,louisiana,8801,NA,louisiana,8801,NA
boots,lousiana,lousiana,NA,NA,louisiana,8801,NA
